first,firstbreed,breedage,firstreturn,returnage
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,13,6,11,4
7,NA,NA,12,5
7,NA,NA,11,4
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,10,3
7,14,7,11,4
7,NA,NA,10,3
7,14,7,12,5
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,10,3
7,NA,NA,11,4
7,NA,NA,11,4
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,14,7,10,3
7,NA,NA,10,3
7,NA,NA,NA,NA
7,15,8,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,10,3
7,NA,NA,12,5
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,12,5
7,13,6,11,4
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,16,9,11,4
7,NA,NA,11,4
7,14,7,10,3
7,NA,NA,10,3
7,NA,NA,10,3
7,NA,NA,NA,NA
7,16,9,10,3
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
1,13,12,4,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,15,7,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,17,9,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
8,NA,NA,NA,NA
8,NA,NA,11,3
8,19,11,16,8
8,NA,NA,NA,NA
8,16,8,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
8,NA,NA,12,4
8,NA,NA,10,2
8,NA,NA,NA,NA
8,19,11,12,4
8,16,8,13,5
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,19,11,12,4
8,NA,NA,15,7
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
